# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.7000,0.5300,0.5831,0.5831
-1.7500,0.5800,0.5590,0.5590
-1.7500,0.6300,0.5831,0.5831
-1.7500,0.6800,0.5701,0.5701
-1.8000,0.7300,0.5701,0.5701
-1.8000,0.7800,0.5831,0.5831
-1.8500,0.8300,0.5590,0.5590
-1.8500,0.8800,0.5701,0.5701
-1.8500,0.9300,0.5701,0.5701
-1.9000,0.9800,0.5590,0.5590
-1.9000,1.0300,0.5701,0.5701
-1.9500,1.0800,0.5385,0.5385
-1.9500,1.1300,0.5590,0.5590
-1.9500,1.1800,0.5590,0.5590
-2.0000,1.2300,0.5590,0.5590
-2.0000,1.2800,0.5701,0.5701
-2.0500,1.3300,0.5590,0.5590
-2.0500,1.3800,0.5831,0.5831
-2.1000,1.4300,0.5590,0.5590
-2.1000,1.4800,0.5831,0.5831
-2.1500,1.5300,0.5701,0.5701
-2.1500,1.5800,0.5831,0.5831
-2.2000,1.6300,0.5590,0.5590
-2.2000,1.6800,0.5701,0.5701
-2.2000,1.7300,0.5701,0.5701
-2.2500,1.7800,0.5590,0.5590
-2.2500,1.8300,0.5831,0.5831
-2.2500,1.8800,0.6000,0.6000
-2.2500,1.9300,0.5852,0.5852
-2.2500,1.9800,0.5701,0.5701
-2.3000,2.0300,0.6042,0.6042
-2.3000,2.0800,0.6021,0.6021
-2.3000,2.1300,0.6000,0.6000
-2.3000,2.1800,0.6000,0.6000
-2.3500,2.2300,0.6265,0.6265
-2.3500,2.2800,0.6185,0.6185
-2.3500,2.3300,0.6083,0.6083
-2.4000,2.3800,0.6325,0.6325
-2.4000,2.4300,0.6500,0.6500
-2.4000,2.4800,0.6325,0.6325
-2.4000,2.5300,0.6185,0.6185
-2.4000,2.5800,0.6083,0.6083
-2.4500,2.6300,0.6519,0.6519
-2.4500,2.6800,0.6500,0.6500
-2.4500,2.7300,0.6500,0.6500
-2.5000,2.7800,0.6946,0.6946
-2.5000,2.8300,0.6801,0.6801
-2.5000,2.8800,0.6671,0.6671
-2.5000,2.9300,0.6576,0.6576
-2.5000,2.9800,0.6519,0.6519
-2.5000,3.0300,0.6500,0.6500
-2.5500,3.0800,0.7000,0.7000
-2.5500,3.1300,0.7000,0.7000
-2.5500,3.1800,0.7000,0.7000
-2.5500,3.2300,0.7000,0.7000
-2.6000,3.2800,0.7159,0.7159
-2.6000,3.3300,0.7280,0.7280
-2.6000,3.3800,0.7280,0.7280
-2.6000,3.4300,0.7159,0.7159
-2.6000,3.4800,0.7071,0.7071
-2.6000,3.5300,0.7018,0.7018
-2.6000,3.5800,0.7000,0.7000
-2.6000,3.6300,0.7000,0.7000
-2.6000,3.6800,0.7000,0.7000
-2.6500,3.7300,0.7500,0.7500
-2.6500,3.7800,0.7500,0.7500
-2.6500,3.8300,0.7500,0.7500
-2.6500,3.8800,0.7500,0.7500
-2.6500,3.9300,0.7500,0.7500
-2.6500,3.9800,0.7500,0.7500
-2.6500,4.0300,0.7517,0.7517
-2.6500,4.0800,0.7566,0.7566
-2.6500,4.1300,0.7649,0.7649
-2.6500,4.1800,0.7762,0.7762
-2.6500,4.2300,0.7906,0.7906
-2.6500,4.2800,0.8000,0.8000
-2.6500,4.3300,0.8016,0.8016
-2.6500,4.3800,0.8016,0.8016
-2.6500,4.4300,0.8000,0.8000
-2.6500,4.4800,0.8000,0.8000
-2.6500,4.5300,0.8000,0.8000
-2.6000,4.5800,0.8500,0.8500
-2.6000,4.6300,0.8500,0.8500
-2.6000,4.6800,0.8382,0.8382
-2.6000,4.7300,0.8246,0.8246
-2.5500,4.7800,0.8631,0.8631
-2.5500,4.8300,0.8544,0.8544
-2.5000,4.8800,0.8860,0.8860
-2.5000,4.9300,0.8732,0.8732
-2.5000,4.9800,0.8631,0.8631
-2.4500,5.0300,0.9014,0.9014
-2.4000,5.0800,0.9341,0.9341
-2.4000,5.1300,0.9192,0.9192
-2.3500,5.1800,0.9487,0.9487
-2.3500,5.2300,0.9341,0.9341
-2.3000,5.2800,0.9708,0.9708
-2.2500,5.3300,1.0112,1.0112
-2.2000,5.3800,1.0440,1.0440
-2.2000,5.4300,1.0308,1.0308
-2.1500,5.4800,1.0595,1.0595
-2.1000,5.5300,1.0920,1.0920
-2.0500,5.5800,1.1102,1.1102
-2.0000,5.6300,1.0920,1.0920
-1.9500,5.6300,1.0977,1.0977
-1.9000,5.6800,1.0548,1.0548
-1.8500,5.6800,1.0607,1.0607
-1.8000,5.7300,1.0198,1.0198
-1.7500,5.7300,1.0308,1.0308
-1.7000,5.7300,1.0440,1.0440
-1.6500,5.7300,1.0512,1.0512
-1.6000,5.7300,1.0296,1.0296
-1.5500,5.7300,1.0062,1.0062
-1.5000,5.7800,1.0308,1.0308
-1.4500,5.7800,1.0124,1.0124
-1.4000,5.7800,0.9962,0.9962
-1.3500,5.7800,0.9823,0.9823
-1.3000,5.7800,0.9708,0.9708
-1.2500,5.7800,0.9618,0.9618
-1.2000,5.7800,0.9552,0.9552
-1.1500,5.7800,0.9513,0.9513
-1.1000,5.8300,1.0000,1.0000
-1.0500,5.8300,1.0000,1.0000
-1.0000,5.8300,1.0000,1.0000
-0.9500,5.8300,1.0000,1.0000
-0.9000,5.7800,0.9500,0.9500
-0.8500,5.7800,0.9500,0.9500
-0.8000,5.7800,0.9500,0.9500
-0.7500,5.7800,0.9500,0.9500
-0.7000,5.7800,0.9500,0.9500
-0.6500,5.7800,0.9513,0.9513
-0.6000,5.7300,0.9055,0.9055
-0.5500,5.7300,0.9124,0.9124
-0.5000,5.7300,0.9220,0.9220
-0.4500,5.7300,0.9341,0.9341
-0.4000,5.7300,0.9487,0.9487
-0.3500,5.6800,0.9124,0.9124
-0.3000,5.6800,0.9220,0.9220
-0.2500,5.6800,0.9341,0.9341
-0.2000,5.6800,0.9487,0.9487
-0.1500,5.6800,0.9657,0.9657
-0.1000,5.6800,0.9849,0.9849
-0.0500,5.6300,0.9618,0.9618
0.0000,5.6300,0.9862,0.9862
0.0500,5.5800,0.9708,0.9708
0.1000,5.5800,1.0000,1.0000
0.1500,5.5300,0.9849,0.9849
0.2000,5.4800,0.9618,0.9618
0.2500,5.4300,0.9394,0.9394
0.2500,5.3800,0.9552,0.9552
0.3000,5.3300,0.9434,0.9434
0.3500,5.2800,0.9124,0.9124
0.3500,5.2300,0.9192,0.9192
0.4000,5.1800,0.8860,0.8860
0.4500,5.1300,0.8515,0.8515
0.5000,5.0800,0.8062,0.8062
0.5000,5.0300,0.8139,0.8139
0.5500,4.9800,0.7762,0.7762
0.5500,4.9300,0.7906,0.7906
0.6000,4.8800,0.7566,0.7566
0.6000,4.8300,0.7649,0.7649
0.6500,4.7800,0.7280,0.7280
0.6500,4.7300,0.7433,0.7433
0.7000,4.6800,0.7071,0.7071
0.7000,4.6300,0.7159,0.7159
0.7000,4.5800,0.7211,0.7211
0.7000,4.5300,0.6946,0.6946
0.7500,4.4800,0.7018,0.7018
